[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Tag[ route_check ] --START--
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Run CheckRoute Behavior [ RunTime:0.002100s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002290s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001486s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001630s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | NOTIC: [8] Array to string conversion CommonAction.class.php 第 160 行.
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.014932s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '295' ) AND ( `user_id` = '666666' ) LIMIT 1   [ RunTime:0.000733s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.004862s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000555s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | NOTIC: [8] Undefined index:  user_type CommonAction.class.php 第 81 行.
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | NOTIC: [8] Undefined index:  name PublicAction.class.php 第 259 行.
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_form` [ RunTime:0.002771s ]
