[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000824s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000927s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000765s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000861s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001184s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001303s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.013133s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013240s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000991s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000685s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000442s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001039s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003429s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000811s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000922s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001896s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002050s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001086s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001246s ]
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-11T15:12:00+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000719s ]
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000832s ]
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001022s ]
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001187s ]
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000863s ]
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000990s ]
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.011564s ]
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011727s ]
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-11T15:12:01+08:00 ] /ak911/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000777s ]
