[ 2014-10-05T22:37:11+08:00 ] /index.php/Tree/KaiBoLuo/RID/1/TPL/0/FID/1 | INFO: Tag[ route_check ] --START--
[ 2014-10-05T22:37:11+08:00 ] /index.php/Tree/KaiBoLuo/RID/1/TPL/0/FID/1 | INFO: Run CheckRoute Behavior [ RunTime:0.004741s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Tree/KaiBoLuo/RID/1/TPL/0/FID/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.004843s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Tree/KaiBoLuo/RID/1/TPL/0/FID/1 | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T22:37:11+08:00 ] /index.php/Tree/KaiBoLuo/RID/1/TPL/0/FID/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000685s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Tree/KaiBoLuo/RID/1/TPL/0/FID/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000760s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Tag[ route_check ] --START--
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Run CheckRoute Behavior [ RunTime:0.001256s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001378s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000930s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001007s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
