[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | INFO: Tag[ route_check ] --START--
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | INFO: Run CheckRoute Behavior [ RunTime:0.001667s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | INFO: Tag[ route_check ] --END-- [ RunTime:0.001855s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | INFO: Tag[ app_begin ] --START--
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004807s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004917s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.015454s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.009510s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT `s12` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.004156s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT `zjj`,`cpzj`,`id`,`user_id`,`re_path` FROM `xt_fck` WHERE ( `rifenhong` = 1 ) AND ( `is_pay` <> 0 )  [ RunTime:0.000535s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SHOW COLUMNS FROM `xt_history` [ RunTime:0.007645s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckModel.class.php 第 89 行.
