[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | INFO: Tag[ route_check ] --START--
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | INFO: Run CheckRoute Behavior [ RunTime:0.000920s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001018s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | INFO: Tag[ app_begin ] --START--
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000754s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000829s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.006890s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000366s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.005071s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000297s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | SQL: SELECT `id`,`user_id` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `is_boss` > 0 ) LIMIT 1   [ RunTime:0.000247s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/9 | NOTIC: [8] Undefined index: Urlsz YouZiAction.class.php 第 36 行.
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Tag[ route_check ] --START--
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Run CheckRoute Behavior [ RunTime:0.000935s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Tag[ route_check ] --END-- [ RunTime:0.001042s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Tag[ app_begin ] --START--
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000618s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000696s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007489s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000342s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.005148s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000314s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | SQL: SELECT `id`,`user_id` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `is_boss` > 0 ) LIMIT 1   [ RunTime:0.000258s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Tag[ view_template ] --START--
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Run LocationTemplate Behavior [ RunTime:0.000992s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Tag[ view_template ] --END-- [ RunTime:0.001101s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Tag[ view_parse ] --START--
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Run ParseTemplate Behavior [ RunTime:0.008102s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008201s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Tag[ view_filter ] --START--
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Run ContentReplace Behavior [ RunTime:0.000486s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Run TokenBuild Behavior [ RunTime:0.000542s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000348s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Run ShowRuntime Behavior [ RunTime:0.000564s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002151s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Tag[ view_end ] --START--
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Run ShowPageTrace Behavior [ RunTime:0.000480s ]
[ 2014-10-09T13:49:29+08:00 ] /ak911/index.php/YouZi/delTable | INFO: Tag[ view_end ] --END-- [ RunTime:0.000555s ]
