[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Tag[ route_check ] --START--
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Run CheckRoute Behavior [ RunTime:0.000780s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Tag[ route_check ] --END-- [ RunTime:0.000881s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Tag[ app_begin ] --START--
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000675s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000758s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 153 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 153 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 153 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 153 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 153 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 153 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007819s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1637' ) AND ( `user_id` = '111' ) LIMIT 1   [ RunTime:0.000338s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.005519s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000259s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_gp` [ RunTime:0.005261s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_gupiao` [ RunTime:0.004322s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT `gp_one`,`gp_fxnum`,`gp_senum`,`gp_cnum` FROM `xt_fee` LIMIT 1   [ RunTime:0.000222s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_xml` [ RunTime:0.004191s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT * FROM `xt_gp` WHERE id=1 LIMIT 1   [ RunTime:0.000312s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: update xt_gp set yt_sellnum=gp_quantity,gp_quantity=0,closing=opening where id=1 and gp_quantity= [ RunTime:0.000197s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: update xt_gp set today=opening,most_g=opening,most_d=opening,f_date='

1413020662' where id=1 [ RunTime:0.000500s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT * FROM `xt_xml` WHERE x_date>=1325347200 ORDER BY x_date desc  [ RunTime:0.000460s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] Invalid argument supplied for foreach() GupiaoAction.class.php 第 2168 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] file_put_contents(./Public/U/data2.csv) [<a href='function.file-put-contents'>function.file-put-contents</a>]: failed to open stream: No such file or directory GupiaoAction.class.php 第 2177 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [8] Undefined index: one_price GupiaoAction.class.php 第 1105 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007373s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT `passopen`,`agent_zz` FROM `xt_fck` WHERE id=1637 LIMIT 1   [ RunTime:0.000270s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT `gp_one` FROM `xt_fee` LIMIT 1   [ RunTime:0.000155s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_inout` [ RunTime:0.004617s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007986s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT `gp_perc` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000293s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: update xt_fck set agent_zz=agent_zz-100 where id=1637 [ RunTime:0.000253s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: INSERT INTO `xt_inout` (`uid`,`one_price`,`price`,`all_nums`,`only_nums`,`buy_s`,`type`,`status`,`add_time`) VALUES ('1637','1.00',100,100,100,'100',0,1,1413020662) [ RunTime:0.035891s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT * FROM `xt_inout` WHERE id>0 ORDER BY id desc LIMIT 1   [ RunTime:0.000393s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT * FROM `xt_inout` WHERE ( `type` = 1 ) AND ( `status` = 1 ) AND ( `only_nums` > 0 ) AND ( `ispay` = 0 ) ORDER BY add_time asc  [ RunTime:0.000238s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT `user_id` FROM `xt_fck` WHERE id=1 LIMIT 1   [ RunTime:0.000192s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: update xt_inout set only_nums=only_nums-100  where id=21 [ RunTime:0.035338s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_history` [ RunTime:0.008239s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckModel.class.php 第 89 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: INSERT INTO `xt_history` (`user_id`,`uid`,`action_type`,`pdt`,`epoints`,`bz`,`did`,`type`,`allp`) VALUES ('100000','1',18,1413020662,100,18,0,1,0) [ RunTime:0.000286s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: UPDATE xt_fck SET `b18`=b18+100 where `id`=1 [ RunTime:0.000260s ]
